
(1.0, 1.0, 0.9), 1.6743157806499145, 1.6763054614240209, 0.99881305596152137
(1.0, 1.0, 0.0), 1.1547005383792515, 1.4142135623730951, 0.81649658092772592
(1.0, 0.0, 0.0), 1.0, 1.0, 1.0
(1.0, 0.0, 0.8), 1.0392304845413263, 1.2806248474865698, 0.81150267120068897
(0.0, 1.0, 0.0), 1.0, 1.0, 1.0
(0.0, 1.0, 0.8), 1.0392304845413263, 1.2806248474865698, 0.81150267120068897
(0.0, 0.0, 1.0), 1.0, 1.0, 1.0
(0.0, 0.8, 1.0), 1.0392304845413263, 1.2806248474865698, 0.81150267120068897
(0.0, 0.0, 1.0), 1.0, 1.0, 1.0
(0.0, 0.8, 1.0), 1.0392304845413263, 1.2806248474865698, 0.81150267120068897
(1.0, 0.9, 0.9), 1.6165807537309518, 1.6186414056238645, 0.99872692500899019
(0.9, 1.0, 0.0), 1.0969655114602888, 1.3453624047073711, 0.81536804330346146
(1.0, 0.9, 1.0), 1.6743157806499145, 1.6763054614240209, 0.99881305596152137
(0.9, 0.0, 1.0), 1.0969655114602888, 1.3453624047073711, 0.81536804330346146
(0.9, 1.0, 1.0), 1.6743157806499145, 1.6763054614240209, 0.99881305596152137
(0.9, 0.0, 1.0), 1.0969655114602888, 1.3453624047073711, 0.81536804330346146
